                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.53409,                0.37856,                0.80709,                0.99812,                      1,                  0.995,                0.88706,                0.50877,                0.33081,                 0.7842,              0.0010399,              0.0010399,              0.0010399
                    116,                0.49952,                 0.3723,                 0.8076,                0.99838,                      1,                  0.995,                 0.8866,                0.47644,                 0.3165,                0.78248,              0.0010344,              0.0010344,              0.0010344
                    117,                0.51263,                0.37469,                0.82405,                0.99882,                      1,                  0.995,                0.89551,                0.45323,                0.30913,                0.77809,              0.0010289,              0.0010289,              0.0010289
                    118,                0.56119,                0.36486,                0.80555,                0.99903,                      1,                  0.995,                0.88565,                0.47682,                0.32077,                0.78073,              0.0010234,              0.0010234,              0.0010234
                    119,                0.51225,                0.37214,                0.82113,                0.99912,                      1,                  0.995,                 0.8852,                0.49228,                0.32902,                0.78122,              0.0010179,              0.0010179,              0.0010179
                    120,                0.48597,                0.37028,                 0.8109,                0.99907,                      1,                  0.995,                0.88333,                0.47991,                 0.3312,                0.77982,              0.0010124,              0.0010124,              0.0010124
                    121,                0.50639,                0.37727,                 0.8257,                0.99859,                      1,                  0.995,                0.88702,                0.47046,                0.31777,                0.77823,              0.0010069,              0.0010069,              0.0010069
                    122,                0.53389,                0.37533,                0.82467,                0.99809,                      1,                  0.995,                0.88391,                0.46036,                0.30758,                 0.7782,              0.0010014,              0.0010014,              0.0010014
                    123,                0.50417,                0.34194,                0.82043,                0.99813,                      1,                  0.995,                 0.8857,                0.46683,                0.30573,                0.77763,             0.00099587,             0.00099587,             0.00099587
                    124,                0.52743,                0.36928,                 0.8329,                0.99815,                      1,                  0.995,                0.88726,                0.46351,                0.31355,                0.77892,             0.00099036,             0.00099036,             0.00099036
                    125,                0.48272,                0.38398,                0.83092,                0.99853,                      1,                  0.995,                0.87951,                0.49949,                0.31788,                0.77912,             0.00098486,             0.00098486,             0.00098486
                    126,                 0.5427,                0.38484,                0.84051,                 0.9988,                      1,                  0.995,                0.88458,                0.49768,                0.32139,                0.77753,             0.00097936,             0.00097936,             0.00097936
                    127,                0.51647,                0.38413,                0.81102,                0.99893,                      1,                  0.995,                0.89247,                0.47033,                0.30972,                0.77674,             0.00097386,             0.00097386,             0.00097386
                    128,                0.49818,                0.35941,                 0.8157,                0.99912,                      1,                  0.995,                0.88856,                  0.481,                0.31848,                0.77875,             0.00096836,             0.00096836,             0.00096836
